,field_1,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,geometry,Unnamed: 0,counts,score
12,12,14,735233,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,1711,(205) 638-9100,CHILDREN,OPEN,332,JEFFERSON,1073,USA,33.50404815,-86.80515914,622110,"CHILDREN'S HOSPITALS, GENERAL",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,http://www.childrensal.org,H3704,NOT AVAILABLE,1,NON-PROFIT,-999,332,LEVEL I,Y,POINT (-86.8051591399999 33.5040481500001),0.0,426.0,1.0
52,52,54,6335801,THE HUNTSVILLE HOSPITAL,101 SIVLEY ROAD,HUNTSVILLE,AL,35801,NOT AVAILABLE,(256) 265-1000,GENERAL ACUTE CARE,OPEN,881,MADISON,1089,USA,34.7214331,-86.58080551,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-02-10,http://www.huntsvillehospital.org,H4503,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,881,LEVEL I,Y,POINT (-86.58080550999991 34.7214331000001),0.0,426.0,1.0
113,113,115,11935233,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH NINETEENTH STREET,BIRMINGHAM,AL,35233,NOT AVAILABLE,(205) 934-4444,GENERAL ACUTE CARE,OPEN,1157,JEFFERSON,1073,USA,33.50560329,-86.8020354,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,NOT AVAILABLE,H3717,NOT AVAILABLE,1,GOVERNMENT - STATE,-999,1157,LEVEL I,Y,POINT (-86.80203539999999 33.5056032900001),0.0,426.0,1.0
115,115,117,9836617,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL,36617,2238,(251) 434-3987,GENERAL ACUTE CARE,OPEN,406,MOBILE,1097,USA,30.70706198,-88.09833486,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-02-10,http://www.usahealthsystem.com/usamc,H4903,NOT AVAILABLE,1,GOVERNMENT - STATE,-999,406,LEVEL I,Y,POINT (-88.09833485999999 30.70706198),0.0,426.0,1.0
147,147,149,6985016,PHOENIX CHILDREN'S HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,AZ,85016,NOT AVAILABLE,(602) 933-1000,CHILDREN,OPEN,435,MARICOPA,4013,USA,33.47887756,-112.03980735,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.azdhs.gov/documents/licensing/databases/medical_list.xls,2021-02-08,IMAGERY,2014-03-12,NOT AVAILABLE,MED2170,NOT AVAILABLE,4,NON-PROFIT,-999,435,LEVEL I,Y,POINT (-112.03980735 33.4788775600001),0.0,426.0,1.0
214,214,218,9685338,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,NOT AVAILABLE,(623) 882-1970,GENERAL ACUTE CARE,OPEN,200,MARICOPA,4013,USA,33.46158845,-112.35340015,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.azdhs.gov/documents/licensing/databases/medical_list.xls,2021-02-08,IMAGERY/OTHER,2022-04-01,NOT AVAILABLE,MED2640,NOT AVAILABLE,4,NOT AVAILABLE,-999,200,LEVEL I,Y,POINT (-112.35340015 33.4615884500001),0.0,426.0,1.0
216,216,220,1685006,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,NOT AVAILABLE,(602) 839-2000,GENERAL ACUTE CARE,OPEN,766,MARICOPA,4013,USA,33.46442144,-112.05738174,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.azdhs.gov/documents/licensing/databases/medical_list.xls,2021-02-08,IMAGERY/OTHER,2014-03-12,NOT AVAILABLE,MED0219,NOT AVAILABLE,4,NON-PROFIT,-999,766,LEVEL I,Y,POINT (-112.05738174 33.46442144),0.0,426.0,1.0
217,217,221,67785724,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1625 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,NOT AVAILABLE,(520) 874-4189,SPECIAL,OPEN,625,PIMA,4019,USA,32.24197377,-110.94630651,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,https://www.azdhs.gov/documents/licensing/databases/medical_list.xls,2021-02-08,IMAGERY/OTHER,2015-01-07,NOT AVAILABLE,MED0257,NOT AVAILABLE,4,GOVERNMENT - STATE,-999,625,LEVEL I,Y,POINT (-110.94630651 32.2419737700001),0.0,426.0,1.0
222,222,226,1385202,BANNER DESERT MEDICAL CENTER,1400 SOUTH DOBSON ROAD,MESA,AZ,85202,NOT AVAILABLE,(480) 412-3000,GENERAL ACUTE CARE,OPEN,605,MARICOPA,4013,USA,33.38947716,-111.87756751,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.azdhs.gov/documents/licensing/databases/medical_list.xls,2021-02-08,IMAGERY/OTHER,2014-02-10,NOT AVAILABLE,MED0216,NOT AVAILABLE,4,NON-PROFIT,-999,605,LEVEL I,Y,POINT (-111.87756751 33.3894771600001),0.0,426.0,1.0
229,229,233,1985306,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,NOT AVAILABLE,(602) 865-4470,GENERAL ACUTE CARE,OPEN,595,MARICOPA,4013,USA,33.6083543,-112.17968539,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.azdhs.gov/documents/licensing/databases/medical_list.xls,2021-02-08,IMAGERY/OTHER,2014-03-12,NOT AVAILABLE,MED0238,NOT AVAILABLE,4,NON-PROFIT,-999,595,LEVEL I,Y,POINT (-112.17968539 33.6083543),0.0,426.0,1.0
