,Notes,County,COUNTYFP,Deaths,Population,Crude Rate
0,",Unnamed: 0.1,Unnamed: 0,""Notes","County""""","County Code""""",Deaths,Population,"Crude Rate"""
1,"0,0,""","Baldwin County"","" AL""""","01003""""",25,909837,"2.7"""
2,"1,1,""","Blount County"","" AL""""","01009""""",11,232586,"Unreliable"""
3,"2,2,""","Calhoun County"","" AL""""","01015""""",19,457323,"Unreliable"""
4,"3,3,""","Colbert County"","" AL""""","01033""""",13,222888,"Unreliable"""
5,"4,4,""","DeKalb County"","" AL""""","01049""""",13,286369,"Unreliable"""
6,"5,5,""","Elmore County"","" AL""""","01051""""",22,334558,"6.6"""
7,"6,6,""","Etowah County"","" AL""""","01055""""",15,410302,"Unreliable"""
8,"7,7,""","Houston County"","" AL""""","01069""""",30,424642,"7.1"""
9,"8,8,""","Jefferson County"","" AL""""","01073""""",164,2641035,"6.2"""
10,"9,9,""","Lauderdale County"","" AL""""","01077""""",10,372527,"Unreliable"""
11,"10,10,""","Lee County"","" AL""""","01081""""",22,672532,"3.3"""
12,"11,11,""","Limestone County"","" AL""""","01083""""",11,404834,"Unreliable"""
13,"12,12,""","Madison County"","" AL""""","01089""""",38,1514092,"2.5"""
14,"13,13,""","Marshall County"","" AL""""","01095""""",12,388101,"Unreliable"""
15,"14,14,""","Mobile County"","" AL""""","01097""""",100,1652756,"6.1"""
16,"15,15,""","Montgomery County"","" AL""""","01101""""",59,904322,"6.5"""
17,"16,16,""","Morgan County"","" AL""""","01103""""",18,482319,"Unreliable"""
18,"17,17,""","Russell County"","" AL""""","01113""""",12,232701,"Unreliable"""
19,"18,18,""","Shelby County"","" AL""""","01117""""",25,881739,"2.8"""
20,"19,19,""","Talladega County"","" AL""""","01121""""",18,321315,"Unreliable"""
21,"20,20,""","Tuscaloosa County"","" AL""""","01125""""",54,856031,"6.3"""
22,"21,21,""","Walker County"","" AL""""","01127""""",12,255193,"Unreliable"""
23,"22,22,""","Anchorage Borough"","" AK""""","02020""""",35,1154754,"3.0"""
24,"23,23,""","Fairbanks North Star Borough"","" AK""""","02090""""",13,387064,"Unreliable"""
25,"24,24,""","Apache County"","" AZ""""","04001""""",10,281203,"Unreliable"""
26,"25,25,""","Cochise County"","" AZ""""","04003""""",17,506192,"Unreliable"""
27,"26,26,""","Coconino County"","" AZ""""","04005""""",14,573863,"Unreliable"""
28,"27,27,""","Maricopa County"","" AZ""""","04013""""",604,17971907,"3.4"""
29,"28,28,""","Mohave County"","" AZ""""","04015""""",11,856629,"Unreliable"""
30,"29,29,""","Navajo County"","" AZ""""","04017""""",20,441628,"4.5"""
31,"30,30,""","Pima County"","" AZ""""","04019""""",112,4199557,"2.7"""
32,"31,31,""","Pinal County"","" AZ""""","04021""""",69,1840312,"3.7"""
33,"32,32,""","Santa Cruz County"","" AZ""""","04023""""",13,187700,"Unreliable"""
34,"33,33,""","Yavapai County"","" AZ""""","04025""""",18,949571,"Unreliable"""
35,"34,34,""","Yuma County"","" AZ""""","04027""""",51,850729,"6.0"""
