field_1,field_1_1,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,Unnamed: 0,counts,score
"285","285","289","1572042","DEWITT HOSPITAL AND NURSING HOME, INC",1641 SOUTH WHITEHEAD DRIVE,DEWITT,AR,"72042",NOT AVAILABLE,(870) 946-3571,CRITICAL ACCESS,OPEN,"25",ARKANSAS,"5001",USA,34.27979487,-91.33823119,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/03/12,NOT AVAILABLE,AR4093,NOT AVAILABLE,"5",NON-PROFIT,"-999","25",NOT AVAILABLE,Y,5,5637,6
"286","286","290","971635",ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,"71635",NOT AVAILABLE,(870) 364-4111,CRITICAL ACCESS,OPEN,"33",ASHLEY,"5003",USA,33.13845416,-91.93879905,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,http://www.acmconline.org,AR4238,NOT AVAILABLE,"5",NON-PROFIT,"-999","33",LEVEL IV,Y,3,1008,4
"287","287","291","272653",BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,"72653",NOT AVAILABLE,(870) 508-1000,GENERAL ACUTE CARE,OPEN,"268",BAXTER,"5005",USA,36.34210333,-92.39654421,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/03/13,http://www.baxterregional.org,AR3827,NOT AVAILABLE,"5",NON-PROFIT,"-999","268",LEVEL III,Y,2,551,3
"288","288","292","196784324",EVEREST REHABILITATION HOSPITAL NWA,4313 SOUTH PLEASANT CROSSING BOULEVARD,ROGERS,AR,"72758",NOT AVAILABLE,(479) 341-4004,REHABILITATION,OPEN,"36",BENTON,"5007",USA,36.2785567,-94.1461076,"622310","REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2022/02/28,NOT AVAILABLE,AR5627,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","36",NOT AVAILABLE,N,5,5637,6
"289","289","293","63072758",MERCY HOSPITAL NORTHWEST ARKANSAS,2710 SOUTH RIFE MEDICAL LANE,ROGERS,AR,"72758","1452",(479) 338-8000,GENERAL ACUTE CARE,OPEN,"275",BENTON,"5007",USA,36.30899285,-94.18297802,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/12/02,NOT AVAILABLE,AR4797,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","275",LEVEL III,Y,2,551,3
"290","290","294","400000",NORTHWEST MEDICAL CENTER - BENTONVILLE,3000 MEDICAL CENTER PARKWAY,BENTONVILLE,AR,"72712",NOT AVAILABLE,(479) 553-1000,GENERAL ACUTE CARE,OPEN,"128",BENTON,"5007",USA,36.33990633,-94.1913569,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,http://www.northwesthealth.com/pages/home.aspx,AR4474,NOT AVAILABLE,"5",PROPRIETARY,"-999","128",LEVEL III,Y,2,551,3
"291","291","295","61572736",OZARKS COMMUNITY HOSPITAL OF GRAVETTE,1101 JACKSON STREET SW,GRAVETTE,AR,"72736","9121",(479) 787-5291,GENERAL ACUTE CARE,OPEN,"25",BENTON,"5007",USA,36.40858329,-94.45911011,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/11/18,NOT AVAILABLE,AR4517,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","25",NOT AVAILABLE,Y,5,5637,6
"292","292","296","172761",SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,AR,"72761",NOT AVAILABLE,(479) 215-3000,GENERAL ACUTE CARE,OPEN,"73",BENTON,"5007",USA,36.18978427,-94.50765532,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,NOT AVAILABLE,AR4774,NOT AVAILABLE,"5",PROPRIETARY,"-999","73",LEVEL IV,Y,3,1008,4
"293","293","297","572601",NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,"72601",NOT AVAILABLE,(870) 414-4000,GENERAL ACUTE CARE,OPEN,"174",BOONE,"5009",USA,36.23653136,-93.10913937,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/03/12,http://www.narmc.com,AR4480,NOT AVAILABLE,"5",NON-PROFIT,"-999","174",LEVEL III,Y,2,551,3
"294","294","298","671671",BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,WARREN,AR,"71671",NOT AVAILABLE,(870) 226-3731,CRITICAL ACCESS,OPEN,"33",BRADLEY,"5011",USA,33.61036413,-92.05925489,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY,2014/02/10,http://www.bradleycountymedicalcenter.com,AR4304,NOT AVAILABLE,"5",NON-PROFIT,"-999","33",NOT AVAILABLE,Y,5,5637,6
"295","295","299","1072632",EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,EUREKA SPRINGS,AR,"72632",NOT AVAILABLE,(479) 253-7400,CRITICAL ACCESS,OPEN,"15",CARROLL,"5015",USA,36.40016379,-93.74423592,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/03/12,http://www.eurekaspringshospital.com,AR5657,NOT AVAILABLE,"5",PROPRIETARY,"-999","15",LEVEL IV,Y,3,1008,4
"296","296","300","872616",MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,BERRYVILLE,AR,"72616","4303",(870) 423-3355,CRITICAL ACCESS,OPEN,"25",CARROLL,"5015",USA,36.3590621,-93.55182577,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/03/12,http://www.mercy.net/practice/mercy-hospital-berryville,AR4767,NOT AVAILABLE,"5",NON-PROFIT,"-999","25",NOT AVAILABLE,Y,5,5637,6
"297","297","301","196784286",SOUTHEAST REHABILITATION HOSPITAL,905 BORGOGNONI DRIVE,LAKE VILLAGE,AR,"71653",NOT AVAILABLE,(870) 265-4333,REHABILITATION,OPEN,"10",CHICOT,"5017",USA,33.3147629,-91.2903316,"622310","REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2022/04/01,NOT AVAILABLE,AR5432,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","10",NOT AVAILABLE,N,5,5637,6
"298","298","302","2271923",BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,3050 TWIN RIVERS DRIVE,ARKADELPHIA,AR,"71923",NOT AVAILABLE,(870) 245-2622,CRITICAL ACCESS,OPEN,"25",CLARK,"5019",USA,34.12291357,-93.08882416,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,http://www.baptist-health.com/locations/accesspoint.aspx?accesspointid=187,AR4227,NOT AVAILABLE,"5",NON-PROFIT,"-999","25",LEVEL IV,Y,3,1008,4
"299","299","303","2372454",PIGGOTT COMMUNITY HOSPITAL,1206 GORDON DUCKWORTH DRIVE,PIGGOTT,AR,"72454",NOT AVAILABLE,(870) 598-3881,CRITICAL ACCESS,OPEN,"25",CLAY,"5021",USA,36.39011947,-90.20483796,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY,2014/02/10,http://www.piggottcommunityhospital.com,AR4319,NOT AVAILABLE,"5",GOVERNMENT - LOCAL,"-999","25",LEVEL IV,Y,3,1008,4
"300","300","304","1372543",BAPTIST HEALTH MEDICAL CENTER - HEBER SPRINGS,1800 BYPASS ROAD,HEBER SPRINGS,AR,"72543",NOT AVAILABLE,(501) 887-3000,CRITICAL ACCESS,OPEN,"25",CLEBURNE,"5023",USA,35.50450113,-91.9979985,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY,2021/05/24,http://www.baptist-health.com/maps-directions/bhmc-heber-springs,AR4436,NOT AVAILABLE,"5",NON-PROFIT,"-999","25",LEVEL IV,Y,3,1008,4
"301","301","305","1871753",MAGNOLIA REGIONAL MEDICAL CENTER,101 HOSPITAL DRIVE,MAGNOLIA,AR,"71753","2415",(870) 235-3000,GENERAL ACUTE CARE,OPEN,"49",COLUMBIA,"5027",USA,33.27419818,-93.23913276,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/03/12,http://www.magnoliahospital.org,AR5687,NOT AVAILABLE,"5",GOVERNMENT - LOCAL,"-999","49",LEVEL IV,Y,3,1008,4
"302","302","306","2472110",CHI ST. VINCENT MORRILTON,4 HOSPITAL DRIVE,MORRILTON,AR,"72110","4510",(501) 977-2300,CRITICAL ACCESS,OPEN,"25",CONWAY,"5029",USA,35.16801491,-92.72135132,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,https://www.stvincenthealth.com/morrilton/,AR5260,NOT AVAILABLE,"5",NON-PROFIT,"-999","25",LEVEL IV,Y,3,1008,4
"303","303","307","187672401",ARKANSAS CONTINUED CARE HOSPITAL OF JONESBORO,"3024 RED WOLF BOULEVARD, SUITE 1",JONESBORO,AR,"72401","7415",(870) 819-4040,GENERAL ACUTE CARE,OPEN,"99",CRAIGHEAD,"5031",USA,35.808393,-90.666568,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2020/05/05,https://arkansascontinuedcarehospital.com/,AR5351,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","99",LEVEL IV,Y,3,1008,4
"304","304","308","61272401",ENCOMPASS HEALTH REHABILITATION HOSPITAL OF JONESBORO,1201 FLEMING AVENUE,JONESBORO,AR,"72401","4311",(870) 932-0440,REHABILITATION,OPEN,"80",CRAIGHEAD,"5031",USA,35.8326775,-90.69303591,"622310","REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/11/18,http://www.encompasshealth.com/jonesbororehab,AR5517,NOT AVAILABLE,"5",NOT AVAILABLE,"-999","80",NOT AVAILABLE,N,5,5637,6
"305","305","309","3300000",NEA BAPTIST MEMORIAL HOSPITAL,4800 EAST JOHNSON AVENUE,JONESBORO,AR,"72405","8413",(870) 936-1000,GENERAL ACUTE CARE,OPEN,"228",CRAIGHEAD,"5031",USA,35.86682937,-90.63651431,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/02/10,NOT AVAILABLE,AR5037,NOT AVAILABLE,"5",NON-PROFIT,"-999","228",LEVEL III,Y,2,551,3
"306","306","310","3672401",ST. BERNARDS MEDICAL CENTER,225 EAST WASHINGTON AVENUE,JONESBORO,AR,"72401","3111",(870) 972-4100,GENERAL ACUTE CARE,OPEN,"378",CRAIGHEAD,"5031",USA,35.83649802,-90.70261858,"622110",GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.healthy.arkansas.gov/images/uploads/pdf/hospitals_hfs_.xlsx,2022/01/21,IMAGERY/OTHER,2014/03/12,http://www.sbrmc.com/,AR5625,NOT AVAILABLE,"5",NON-PROFIT,"-999","378",LEVEL III,Y,2,551,3
