,field_1,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,geometry,Unnamed: 0,counts,score
0,0,1,1336420,ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET, PO BOX 760",ANDALUSIA,AL,36420,NOT AVAILABLE,(334) 222-8466,GENERAL ACUTE CARE,OPEN,88,COVINGTON,1039,USA,31.29579533,-86.49454911,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-02-10,http://www.andalusiaregionalhospital.com,H2001,NOT AVAILABLE,1,PROPRIETARY,-999,88,LEVEL III,Y,POINT (-86.49454910999999 31.29579533),2.0,551.0,3.0
1,1,2,1535611,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,NOT AVAILABLE,(256) 262-6468,GENERAL ACUTE CARE,OPEN,71,LIMESTONE,1083,USA,34.80416393,-86.97840721,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2013-10-02,http://www.athenslimestonehospital.com,H4201,NOT AVAILABLE,1,PROPRIETARY,-999,71,LEVEL III,N,POINT (-86.9784072099999 34.8041639300001),2.0,551.0,3.0
2,2,3,136502,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DR,ATMORE,AL,36502,NOT AVAILABLE,(251) 368-2500,GENERAL ACUTE CARE,OPEN,51,ESCAMBIA,1053,USA,31.01702387,-87.47879851,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-02-10,http://www.ebaptisthealthcare.org/atmorecommunityhospital/,H2704,NOT AVAILABLE,1,NON-PROFIT,-999,51,LEVEL III,Y,POINT (-87.47879851 31.0170238700001),2.0,551.0,3.0
3,3,4,236124,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD, PO BOX 241267",MONTGOMERY,AL,36117,1267,(334) 747-4410,GENERAL ACUTE CARE,OPEN,150,MONTGOMERY,1101,USA,32.3763995,-86.17493002,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2013-09-03,http://www.baptistfirst.org,H5107,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,150,NOT AVAILABLE,Y,POINT (-86.17493002000001 32.3763995),5.0,5637.0,6.0
4,4,5,1736111,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD, PO BOX 11010",MONTGOMERY,AL,36111,0010,(334) 286-2100,GENERAL ACUTE CARE,OPEN,432,MONTGOMERY,1101,USA,32.32815395,-86.27754935,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,http://www.baptistfirst.org,H5102,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,432,LEVEL II,Y,POINT (-86.27754935 32.3281539500001),1.0,369.0,2.0
5,5,6,436693,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,AL,36693,NOT AVAILABLE,(251) 450-5901,PSYCHIATRIC,OPEN,60,MOBILE,1097,USA,30.62480849,-88.17800813,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-02-10,http://www.altapointe.org,H4912,NOT AVAILABLE,1,NON-PROFIT,-999,60,NOT AVAILABLE,N,POINT (-88.17800812999999 30.6248084900001),5.0,5637.0,6.0
6,6,7,1836049,BEACONS CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,AL,36049,NOT AVAILABLE,(334) 334-5040,PSYCHIATRIC,OPEN,28,CRENSHAW,1041,USA,31.69458855,-86.26319151,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-02-10,NOT AVAILABLE,H2102,NOT AVAILABLE,1,PROPRIETARY,-999,28,NOT AVAILABLE,Y,POINT (-86.26319151 31.69458855),5.0,5637.0,6.0
7,7,8,2035042,BIBB MEDICAL CENTER,208 PIERSON AVENUE,CENTREVILLE,AL,35042,NOT AVAILABLE,(205) 926-4881,GENERAL ACUTE CARE,OPEN,35,BIBB,1007,USA,32.95135837,-87.14831123,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY,2014-02-10,http://www.bibbmedicalcenter.com,H0401,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,35,NOT AVAILABLE,Y,POINT (-87.14831123 32.95135837),5.0,5637.0,6.0
8,8,9,196784204,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,HOMEWOOD,AL,35209,NOT AVAILABLE,(205) 877-1000,GENERAL ACUTE CARE,OPEN,595,JEFFERSON,1073,USA,33.46425993,-86.7766651,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2022-04-01,NOT AVAILABLE,H3721,NOT AVAILABLE,1,PROPRIETARY,-999,595,LEVEL III,Y,POINT (-86.7766650999999 33.46425993),2.0,551.0,3.0
9,9,10,2135401,BRYCE HOSPITAL,200 UNIVERSITY BOULEVARD,TUSCALOOSA,AL,35401,NOT AVAILABLE,(205) 759-0750,PSYCHIATRIC,OPEN,-999,TUSCALOOSA,1125,USA,33.21630309,-87.53815802,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY,2014-02-10,NOT AVAILABLE,H6304,NOT AVAILABLE,1,GOVERNMENT - STATE,-999,-999,NOT AVAILABLE,N,POINT (-87.53815802 33.2163030900001),5.0,5637.0,6.0
10,10,11,8236089,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,NOT AVAILABLE,(334) 738-2140,GENERAL ACUTE CARE,OPEN,61,BULLOCK,1011,USA,32.14663511,-85.71700933,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY,2014-02-10,NOT AVAILABLE,H0601,NOT AVAILABLE,1,PROPRIETARY,-999,61,NOT AVAILABLE,N,POINT (-85.7170093299999 32.14663511),5.0,5637.0,6.0
11,11,12,1636083,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,2400 HOSPITAL ROAD,TUSKEGEE,AL,36083,NOT AVAILABLE,(334) 727-0550,GENERAL ACUTE CARE,OPEN,143,MACON,1087,USA,32.44521832,-85.71214861,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2015-05-13,NOT AVAILABLE,H4401,NOT AVAILABLE,1,NOT AVAILABLE,-999,143,NOT AVAILABLE,Y,POINT (-85.71214861 32.44521832),5.0,5637.0,6.0
12,12,14,735233,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,1711,(205) 638-9100,CHILDREN,OPEN,332,JEFFERSON,1073,USA,33.50404815,-86.80515914,622110,"CHILDREN'S HOSPITALS, GENERAL",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,http://www.childrensal.org,H3704,NOT AVAILABLE,1,NON-PROFIT,-999,332,LEVEL I,Y,POINT (-86.8051591399999 33.5040481500001),0.0,426.0,1.0
13,13,15,2836904,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR DRIVE,BUTLER,AL,36904,NOT AVAILABLE,(205) 459-9100,CRITICAL ACCESS,OPEN,25,CHOCTAW,1023,USA,32.09310534,-88.20949244,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY,2013-09-09,http://www.choctawgeneral.com/cgh/,H1201,NOT AVAILABLE,1,NON-PROFIT,-999,25,NOT AVAILABLE,Y,POINT (-88.20949244000001 32.0931053400001),5.0,5637.0,6.0
14,14,16,3035161,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE, PO BOX 978",TALLADEGA,AL,35161,NOT AVAILABLE,(205) 820-5930,GENERAL ACUTE CARE,OPEN,122,TALLADEGA,1121,USA,33.44027682,-86.0907834,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY,2014-02-10,http://www.bhsala.com/home_citizens.cfm?id=38,H6101,NOT AVAILABLE,1,PROPRIETARY,-999,122,LEVEL III,Y,POINT (-86.09078340000001 33.4402768200001),2.0,551.0,3.0
15,15,17,3236251,CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9, PO BOX 1270",ASHLAND,AL,36251,NOT AVAILABLE,(256) 354-2131,GENERAL ACUTE CARE,OPEN,53,CLAY,1027,USA,33.27756394,-85.82398278,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2013-09-09,http://www.claycountyhospital.com,H1401,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,53,NOT AVAILABLE,Y,POINT (-85.82398277999989 33.2775639400001),5.0,5637.0,6.0
16,16,18,3336078,"COMMUNITY HOSPITAL, INC",805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,1225,(334) 283-6541,GENERAL ACUTE CARE,OPEN,69,ELMORE,1051,USA,32.53390983,-85.91224661,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-03-12,http://chal.org/,H2602,NOT AVAILABLE,1,NON-PROFIT,-999,69,LEVEL III,Y,POINT (-85.91224661 32.53390983),2.0,551.0,3.0
17,17,19,3435150,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,NOT AVAILABLE,(256) 401-4534,GENERAL ACUTE CARE,OPEN,168,TALLADEGA,1121,USA,33.16456023,-86.25548758,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY,2014-02-10,http://www.cvhealth.net,H6102,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,168,LEVEL III,N,POINT (-86.25548757999999 33.1645602300001),2.0,551.0,3.0
18,18,20,3536049,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,NOT AVAILABLE,(334) 335-1154,GENERAL ACUTE CARE,OPEN,65,CRENSHAW,1041,USA,31.69354407,-86.2650457,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2014-02-10,NOT AVAILABLE,H2101,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,65,NOT AVAILABLE,Y,POINT (-86.2650457 31.69354407),5.0,5637.0,6.0
19,19,21,8435801,CRESTWOOD MEDICAL CENTER,1 HOSPITAL DRIVE,HUNTSVILLE,AL,35801,NOT AVAILABLE,(256) 429-5000,GENERAL ACUTE CARE,OPEN,180,MADISON,1089,USA,34.6936114,-86.57217154,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY,2013-10-02,NOT AVAILABLE,H4501,NOT AVAILABLE,1,PROPRIETARY,-999,180,LEVEL III,N,POINT (-86.5721715399999 34.6936114000001),2.0,551.0,3.0
20,20,22,91036116,CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,4385 NARROW LANE ROAD,MONTGOMERY,AL,36116,NOT AVAILABLE,(334) 286-3116,PSYCHIATRIC,OPEN,60,MONTGOMERY,1101,USA,32.32346327,-86.28134483,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021-10-19,IMAGERY/OTHER,2015-02-03,NOT AVAILABLE,H5111,NOT AVAILABLE,1,GOVERNMENT - DISTRICT/AUTHORITY,-999,60,NOT AVAILABLE,N,POINT (-86.28134482999999 32.32346327),5.0,5637.0,6.0
